GameID,Team,Time,Player,PlayerID,Penalty,PIM
202403060ANA,ANA,30.15,Pavel Mintyukov,mintypa01,Tripping,2 min
202403060ANA,OTT,37.1,Brady Tkachuk,tkachbr01,Hooking,2 min
202403060ANA,OTT,58.43,Bench,,Too Many Men on the Ice,2 min
202403060ANA,OTT,59.32,Thomas Chabot,chaboth01,Holding,2 min
202403080ANA,DAL,10.12,Ty Dellandrea,dellaty01,Interference,2 min
202403080ANA,ANA,16.27,Benoit-Olivier Groulx,groulbe01,Holding,2 min
202403080ANA,ANA,24.93,Radko Gudas,gudasra01,Delay of Game,2 min
202403080ANA,ANA,31.35,Gustav Lindström,lindsgu01,Holding,2 min
202403080ANA,DAL,43.65,Chris Tanev,tanevch01,Hooking,2 min
202403080ANA,ANA,45.28,Mason McTavish,mctavma01,Tripping,2 min
202403080ANA,ANA,46.3,Radko Gudas,gudasra01,Tripping,2 min
202403080ANA,DAL,47.78,Ty Dellandrea,dellaty01,Holding Stick,2 min
202403080ANA,DAL,58.3,Mason Marchment,marchma01,Tripping,2 min
202403100ANA,ANA,10.07,Gustav Lindström,lindsgu01,Holding,2 min
202403100ANA,ANA,12.28,Bench,,0,2 min
202403100ANA,ANA,12.28,Alex Killorn,killoal01,Hooking,2 min
202403100ANA,NYI,17.13,Noah Dobson,dobsono01,Hooking,2 min
202403100ANA,ANA,21.13,Jakob Silfverberg,silfvja01,Hooking,2 min
202403100ANA,NYI,28.13,Alexander Romanov,romanal01,Holding,2 min
202403100ANA,ANA,32.65,Lukáš Dostál,dostalu01,Delay of Game,2 min
202403100ANA,ANA,49.45,Max Jones,jonesma03,Roughing,2 min
202403100ANA,NYI,49.45,Alexander Romanov,romanal01,Roughing,2 min
202403190ANA,ANA,10.22,Alex Killorn,killoal01,Interference,2 min
202403190ANA,MIN,12.6,Jonas Brodin,brodijo01,Hooking,2 min
202403190ANA,ANA,22.37,Jakob Silfverberg,silfvja01,Slashing,2 min
202403190ANA,MIN,27.2,Mats Zuccarello,zuccama01,Interference,2 min
202403190ANA,ANA,30.43,Urho Vaakanainen,vaakaur01,Hooking,2 min
202403190ANA,MIN,33.1,Marcus Johansson,johanma03,Interference,2 min
202403190ANA,ANA,42.1,Gustav Lindström,lindsgu01,Slashing,2 min
202403190ANA,ANA,49.62,Mason McTavish,mctavma01,Holding,2 min
202403210ANA,ANA,10.38,Ross Johnston,johnsro02,Fighting,5 min
202403210ANA,CHI,10.38,Jarred Tinordi,tinorja01,Fighting,5 min
202403210ANA,ANA,15.53,Ryan Strome,stromry01,Cross Checking,2 min
202403210ANA,CHI,23.6,Landon Slaggert,slaggla01,Holding,2 min
202403210ANA,CHI,30.15,Nikita Zaitsev,zaitsni01,Interference,2 min
202403210ANA,ANA,35.22,Pavel Mintyukov,mintypa01,Unsportsmanlike Conduct,2 min
202403210ANA,CHI,35.22,Landon Slaggert,slaggla01,Tripping,2 min
202403210ANA,CHI,36.28,Connor Bedard,bedarco01,Hooking,2 min
202403210ANA,ANA,40.25,Ryan Strome,stromry01,Fighting,5 min
