Gm,GameID,Date,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at EV,CA at EV,CF% at EV,FF at EV,FA at EV,FF% at EV,FOW at EV,FOL at EV
39,202401080COL,01/08/2024,BOS,@,COL,3,4,L,SO,26,14,36,8,44,59,42.7,28,38,42.4,38,26
40,202401090ARI,01/09/2024,BOS,@,ARI,3,4,L,OT,33,17,36,19,47,60,43.9,31,48,39.2,33,23
41,202401110VEG,01/11/2024,BOS,@,VEG,1,2,L,OT,33,10,25,6,58,41,58.6,40,22,64.5,18,18
42,202401130STL,01/13/2024,BOS,@,STL,4,3,W,OT,35,6,23,8,63,30,67.7,48,24,66.7,20,22
43,202401150BOS,01/15/2024,BOS,vs,NJD,3,0,W,,36,4,31,10,55,55,50,42,41,50.6,24,26
44,202401180BOS,01/18/2024,BOS,vs,COL,5,2,W,,31,4,32,6,54,58,48.2,34,45,43,26,27
45,202401200BOS,01/20/2024,BOS,vs,MTL,9,4,W,,36,11,21,11,45,41,52.3,37,29,56.1,23,22
46,202401220BOS,01/22/2024,BOS,vs,WPG,4,1,W,,21,6,21,6,37,41,47.4,28,31,47.5,20,21
47,202401240BOS,01/24/2024,BOS,vs,CAR,2,3,L,,28,6,33,8,34,55,38.2,28,45,38.4,17,21
48,202401250OTT,01/25/2024,BOS,@,OTT,3,2,W,OT,23,18,37,8,41,52,44.1,26,37,41.3,21,21
49,202401270PHI,01/27/2024,BOS,@,PHI,6,2,W,,28,6,37,6,40,60,40,33,43,43.4,17,21
50,202402060BOS,02/06/2024,BOS,vs,CGY,1,4,L,,22,24,29,25,43,53,44.8,29,38,43.3,22,18
51,202402080BOS,02/08/2024,BOS,vs,VAN,4,0,W,,24,10,17,10,33,37,47.1,28,26,51.9,16,26
52,202402100BOS,02/10/2024,BOS,vs,WSH,0,3,L,,18,17,29,8,27,33,45,17,25,40.5,12,16
53,202402130BOS,02/13/2024,BOS,vs,TBL,2,3,L,SO,38,6,25,12,64,38,62.7,44,29,60.3,21,21
54,202402150BOS,02/15/2024,BOS,vs,SEA,1,4,L,,37,4,26,4,63,43,59.4,48,33,59.3,17,22
